,tradingsymbol,instrument_token,mis_multiplier
266,GSKCONS,821761,3.0
267,GSFC,319233,12.5
268,GREAVESCOT,316161,3.0
269,GRASIM,315393,12.5
270,GRANULES,3039233,3.0
271,GPPL,5051137,3.0
272,GOLDBEES,3693569,10.0
273,GODREJIND,2796801,12.5
274,GODREJCP,2585345,12.5
275,GODREJAGRO,36865,3.0
276,GODFRYPHLP,302337,12.5
277,GILLETTE,403457,3.0
278,GICRE,70913,3.0
279,GICHSGFIN,291585,3.0
280,GHCL,288513,3.0
281,KOTAKNIFTY,4634113,3.0
282,KOTAKBANK,492033,12.5
283,KIRIINDUS,4259585,3.0
284,KILITCH,5103873,3.0
285,GET&D,4296449,3.0
286,GESHIP,3526657,3.0
287,GEPIL,2012673,3.0
288,GDL,3004161,3.0
289,GANECOS,1777665,3.0
290,GAIL,1207553,12.5
291,FRETAIL,4704769,3.0
292,FORTIS,3735553,3.0
293,FINCABLES,265729,3.0
294,FEL,2692097,3.0
295,FEDERALBNK,261889,12.5
296,EXIDEIND,173057,12.5
297,EVEREADY,3016193,3.0
298,ESTER,6211841,3.0
299,ESCORTS,245249,12.5
300,EROSMEDIA,5140481,3.0
301,ERIS,5415425,3.0
302,EQUITAS,4314113,5.6
303,ENGINERSIN,1256193,12.5
304,CAPACITE,5567745,3.0
305,CANFINHOME,149249,11.1
306,CANBK,2763265,12.5
307,CAMLINFINE,1591297,3.0
308,BHEL,112129,5.0
309,BHARTIARTL,2714625,5.0
310,BHARATFORG,108033,12.5
311,BHARATFIN,4995329,12.5
312,BGRENERGY,3888385,3.0
313,BFUTILITIE,3729153,3.0
314,BFINVEST,5404929,3.0
315,BEML,101121,12.5
316,BEL,98049,12.5
317,BBTC,97281,3.0
318,BATAINDIA,94977,12.5
319,BANKINDIA,1214721,3.0
320,BANKBEES,2928385,10.0
321,BANKBARODA,1195009,12.5
322,BANCOINDIA,3553281,3.0
323,BALRAMCHIN,87297,3.0
324,BALKRISIND,85761,12.5
325,BAJFINANCE,81153,12.5
326,BAJAJHLDNG,78081,3.0
327,BAJAJFINSV,4268801,12.5
328,BAJAJELEC,3848705,3.0
329,BAJAJ-AUTO,4267265,12.5
330,IGL,2883073,12.5
331,IFCI,381697,12.5
332,WIPRO,969473,12.5
333,TORNTPHARM,900609,12.5
334,SHRIRAMCIT,3005185,3.0
335,PTC,2906881,12.5
336,GATI,3504129,3.0
337,CADILAHC,2029825,12.5
338,BLKASHYAP,3402241,3.0
339,BLISSGVS,4931841,3.0
340,BIOCON,2911489,12.5
341,BSE,5013761,3.0
342,BRITANNIA,140033,12.5
343,BLUEDART,126721,3.0
344,BERGEPAINT,103425,12.5
345,IEX,56321,3.0
346,ICIL,3068673,3.0
347,ICICIPRULI,4774913,9.1
348,ICICINIFTY,7565569,3.0
349,INDIGO,2865921,10.0
350,INDIANB,3663105,11.0
351,INDIACEM,387841,12.5
